class_id,class,images,instances,raw_label_lines,deduplicated_or_filtered_lines,precision,recall,f1,mAP50,mAP50-95
0,plane,2430,16625,16642,17,0.9474650608227715,0.9220877278553002,0.934604158221275,0.9521473094544077,0.8623519396846154
1,ship,2016,56002,59565,3563,0.9117895429074984,0.8869683225599085,0.8992076776161106,0.9094483549065466,0.7626811846734778
2,storage tank,1119,20472,20472,0,0.9219695047292228,0.745683329648517,0.8245088857207029,0.8506994253670539,0.7166956140619187
3,baseball diamond,657,1264,1264,0,0.8273197674250306,0.8180379746835443,0.8226526908278567,0.8157653813070572,0.6031274784414006
4,tennis court,554,2983,3000,17,0.9493431462823324,0.8921134896771253,0.9198390128689834,0.9181832459153556,0.890444987100272
5,basketball court,289,751,785,34,0.7605445667519876,0.6311584553928096,0.6898370217933388,0.6412057144277993,0.5874173233793025
6,ground track field,615,782,802,20,0.7557515604767326,0.7320023495604623,0.7436873991332658,0.7496203568402448,0.6360489727553497
7,harbor,1791,11875,11957,82,0.8618722174723304,0.8037052631578947,0.8317730581827696,0.8481356678413572,0.5911498786962616
8,bridge,1632,3174,3182,8,0.7127356629676668,0.5926275992438563,0.647155986486714,0.6262700042431765,0.4063304034499107
9,large vehicle,1493,21821,21822,1,0.8758980235945714,0.7824130175738692,0.826520476212649,0.8243340903689149,0.6859706236433267
10,small vehicle,1188,25406,25411,5,0.7497037293333335,0.7258521609068724,0.7375851712237819,0.7211241731978322,0.5708861011253593
11,helicopter,163,559,559,0,0.8451797343300561,0.7910332947419452,0.8172105930184548,0.8334121257327272,0.6174650806934858
12,roundabout,842,1115,1115,0,0.7895657383622949,0.5713004484304933,0.6629296322731194,0.6673919567039879,0.5281802342035122
13,soccer ball field,606,904,920,16,0.7203562693056008,0.5613585619567616,0.6309955218910235,0.6601376503802823,0.5551930780764585
14,swimming pool,389,2445,2445,0,0.7907666131302037,0.6662170728237318,0.7231683146011517,0.7063383956921057,0.4573821888478851
